Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1
1,Document,,,,,,,,,,Farsi Transliteration for Jair
2,Page,,,,,,,,,,Page 1
3,Decision,Flowchart Shapes,2,,,,,,,,Is the word found in the DB?
4,Process,Flowchart Shapes,2,,,,,,,,Output its transliteration!
5,Decision,Flowchart Shapes,2,,,,,,,,Is it a verb?
6,Process,Flowchart Shapes,2,,,,,,,,Lemmatize it!
7,Process,Flowchart Shapes,2,,,,,,,,Stem it!
8,Decision,Flowchart Shapes,2,,,,,,,,Does only one of the verb roots exist in the verb?
9,Decision,Flowchart Shapes,2,,,,,,,,Do both verb roots exist in the verb?
10,Decision,Flowchart Shapes,2,,,,,,,,Is the prefix ب or بی?
11,Process,Flowchart Shapes,2,,,,,,,,Use the second verb root!
12,Process,Flowchart Shapes,2,,,,,,,,Use the first verb root!
13,Decision,Flowchart Shapes,2,,,,,,,,Is there an آ in the verb roots?
14,Process,Flowchart Shapes,2,,,,,,,,Change the first آ in the verb root(s) to ا.
15,Decision,Flowchart Shapes,2,,,,,,,,Does only one of the verb roots exist in the verb?
16,Decision,Flowchart Shapes,2,,,,,,,,Do both verb roots exist in the verb?
17,Decision,Flowchart Shapes,2,,,,,,,,Is the prefix ب or بی?
18,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
19,Process,Flowchart Shapes,2,,,,,,,,Undo the change to the second verb root and use it!
20,Process,Flowchart Shapes,2,,,,,,,,Undo the change to the first verb root and use it!
21,Process,Flowchart Shapes,2,,,,,,,,Use it! 
22,Decision,Flowchart Shapes,2,,,,,,,,Is the verb root found in the DB?
23,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
24,Process,Flowchart Shapes,2,,,,,,,,Undo the change to the verb root and use it!
25,Decision,Flowchart Shapes,2,,,,,,,,Is there anything before the word root?
26,Decision,Flowchart Shapes,2,,,,,,,,Collision?
27,Process,Flowchart Shapes,2,,,,,,,,Collision-handler
28,Process,Flowchart Shapes,2,,,,,,,,Output its transliteration!
29,Decision,Flowchart Shapes,2,,,,,,,,Collision?
30,Process,Flowchart Shapes,2,,,,,,,,Collision-handler
31,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
32,Process,Flowchart Shapes,2,,,,,,,,Change all instances of ي and ك in the text to ی and ک
33,Decision,Flowchart Shapes,2,,,,,,,,Includes underscores?
34,Process,Flowchart Shapes,2,,,,,,,,transliterate each side of underscore separately in proper order
35,Decision,Flowchart Shapes,2,,,,,,,,Does the root of the word exist in the database?
36,Decision,Flowchart Shapes,2,,,,,,,,Collision?
37,Process,Flowchart Shapes,2,,,,,,,,Collision-handler
38,Process,Flowchart Shapes,2,,,,,,,,Output its transliteration!
39,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
40,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Affix-handler
41,Decision,Flowchart Shapes,2,,,,,,,,Is there only one instance of the affix?
42,Decision,Flowchart Shapes,2,,,,,,,,Is it بی or نی?
43,Decision,Flowchart Shapes,2,,,,,,,,Is it ست?
44,Process,Flowchart Shapes,2,,,,,,,,ST-handler
45,Decision,Flowchart Shapes,2,,,,,,,,Is it ی?
46,Process,Flowchart Shapes,2,,,,,,,,Y-handler
47,Decision,Flowchart Shapes,2,,,,,,,,Is it ات?
48,Process,Flowchart Shapes,2,,,,,,,,AT-handler
49,Decision,Flowchart Shapes,2,,,,,,,,Is it ان?
50,Process,Flowchart Shapes,2,,,,,,,,AN-handler
51,Decision,Flowchart Shapes,2,,,,,,,,Is it ش?
52,Process,Flowchart Shapes,2,,,,,,,,SH-handler
53,Decision,Flowchart Shapes,2,,,,,,,,Is it م?
54,Process,Flowchart Shapes,2,,,,,,,,M-handler
55,Decision,Flowchart Shapes,2,,,,,,,,Is it مان?
56,Process,Flowchart Shapes,2,,,,,,,,MAN-handler
57,Decision,Flowchart Shapes,2,,,,,,,,Is it می?
58,Process,Flowchart Shapes,2,,,,,,,,MI-handler
59,Decision,Flowchart Shapes,2,,,,,,,,Is it ون?
60,Process,Flowchart Shapes,2,,,,,,,,UN-handler
61,Decision,Flowchart Shapes,2,,,,,,,,Is it ید?
62,Process,Flowchart Shapes,2,,,,,,,,ID-handler
63,Decision,Flowchart Shapes,2,,,,,,,,Is it یم?
64,Process,Flowchart Shapes,2,,,,,,,,IM-handler
65,Decision,Flowchart Shapes,2,,,,,,,,Is it ن?
66,Process,Flowchart Shapes,2,,,,,,,,N-handler
67,Process,Flowchart Shapes,2,,,,,,,,Affix-sub
68,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Collision-handler
69,Decision,Flowchart Shapes,2,,,,,,,,Is there only one instance of the word with the desired PoS?
70,Process,Flowchart Shapes,2,,,,,,,,Return the transliteration of the instance with the desired PoS!
71,Process,Flowchart Shapes,2,,,,,,,,Return the transliteration of the instance with the desired PoS that has the highest frequency!
72,Decision,Flowchart Shapes,2,,,,,,,,Is there an instance of the word with the desired PoS?
73,Process,Flowchart Shapes,2,,,,,,,,Return the transliteration of the instance with the highest frequency!
74,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Transliterator
75,Curly Brace Note,Flowchart Shapes,2,,,,,,,,ST-handler
76,Decision,Flowchart Shapes,2,,,,,,,,Is it a suffix?
77,Decision,Flowchart Shapes,2,,,,,,,,"Does the transliteration of the segment before it end in any of the /A, i, u/ sounds?"
78,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
79,Process,Flowchart Shapes,2,,,,,,,,"Return ""st"""
80,Process,Flowchart Shapes,2,,,,,,,,"Return ""ast"""
81,Curly Brace Note,Flowchart Shapes,2,,,,,,,,Y-handler
82,Decision,Flowchart Shapes,2,,,,,,,,Is it a suffix?
83,Decision,Flowchart Shapes,2,,,,,,,,Is the word before it a verb?
84,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
85,Process,Flowchart Shapes,2,,,,,,,,"Return ""i"""
86,Decision,Flowchart Shapes,2,,,,,,,,"Does the transliteration of the segment before it end in any of the /a,e,o,A,u/ sounds?"
87,Process,Flowchart Shapes,2,,,,,,,,"Return ""ye"""
88,Process,Flowchart Shapes,2,,,,,,,,"Return ""i"""
89,Curly Brace Note,Flowchart Shapes,2,,,,,,,,AT-handler
90,Decision,Flowchart Shapes,2,,,,,,,,Is it a suffix?
91,Decision,Flowchart Shapes,2,,,,,,,,Is there a space or semi-space before it?
92,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
93,Process,Flowchart Shapes,2,,,,,,,,"Return ""'at"""
94,Process,Flowchart Shapes,2,,,,,,,,"Return ""At"""
95,Curly Brace Note,Flowchart Shapes,2,,,,,,,,AN-handler
96,Decision,Flowchart Shapes,2,,,,,,,,Is it a suffix?
97,Decision,Flowchart Shapes,2,,,,,,,,Does the transliteration of the segment before it end in /i/?
98,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
99,Process,Flowchart Shapes,2,,,,,,,,"Return ""yAn"""
100,Process,Flowchart Shapes,2,,,,,,,,"Return ""An"""
101,Curly Brace Note,Flowchart Shapes,2,,,,,,,,SH-handler
102,Decision,Flowchart Shapes,2,,,,,,,,Is it a suffix?
103,Decision,Flowchart Shapes,2,,,,,,,,"Is the word to-which it's attached, a noun?"
104,Terminator,Flowchart Shapes,2,,,,,,,,Terminator
